Time,Report Time,LatLng,rad,Locate Type,Strength,Cell Tower,is_sz,Network,Wifi,Br,Charging
"02/10/2025 12:54:06","02/10/2025 12:54:04","51.489804, -0.261031","192","wifi","-24 dBm","9910_9365784_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-63|fa:b4:6a:69:8b:19,-64|80:69:1a:09:b3:c6,-67|80:bc:37:48:c9:93,-69|80:bc:37:48:c9:94,-70|f2:11:b0:15:c8:c5,-70|80:bc:37:48:c9:90,-70|80:bc:37:48:c9:91,-70","18%","NO"
"02/10/2025 12:51:03","02/10/2025 12:51:02","51.489804, -0.261031","192","wifi","-22 dBm","9910_9365784_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-72|80:bc:37:48:c9:94,-56|80:bc:37:48:c9:93,-56|fa:b4:6a:69:8b:19,-64|80:69:1a:09:b3:c6,-77|3c:7c:3f:da:bb:38,-80|26:3f:0b:da:64:88,-88|80:bc:37:48:c9:91,-56|80:bc:37:48:c9:90,-56|f2:11:b0:15:c8:c5,-72","18%","NO"
"02/10/2025 12:50:03","02/10/2025 12:50:02","51.489804, -0.261031","192","wifi","-19 dBm","2354_3614984_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-69|80:bc:37:48:c9:94,-61|80:bc:37:48:c9:93,-61|fa:b4:6a:69:8b:19,-69|80:69:1a:09:b3:c6,-79|fe:3f:db:cf:67:b6,-81|2a:cd:c4:77:cd:23,-84|80:bc:37:48:c9:90,-61|80:bc:37:48:c9:91,-61|f2:11:b0:15:c8:c5,-72","18%","NO"
"02/10/2025 12:44:03","02/10/2025 12:44:02","51.4923265, -0.2616998","48","wifi","-21 dBm","2454_6256920_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-1000|04:09:86:24:1f:30,-80|00:80:48:70:3c:f8,-82|c0:05:c2:ee:df:a9,-82|a2:cd:f3:f4:fb:8b,-83|64:7b:1e:94:06:af,-85|a0:b5:3c:29:3d:1a,-86|78:c5:7d:41:88:95,-86|94:2a:6f:38:ec:0e,-89|48:d3:43:54:38:99,-89","18%","NO"
"02/10/2025 12:43:35","02/10/2025 12:43:33","51.492437, -0.262595","85","wifi","-24 dBm","2454_6256920_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-1000|00:30:44:29:ad:5f,-85|70:97:41:48:4e:02,-82|72:97:41:48:4e:03,-81","18%","NO"
"02/10/2025 12:43:10","02/10/2025 12:43:09","51.492507, -0.262821","84","wifi","-24 dBm","2454_6256920_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-1000|04:09:86:24:1f:30,-79|00:30:44:29:ad:5f,-79|24:a4:3c:ed:f4:ed,-74|70:97:41:48:4e:02,-78|4c:19:5d:d9:c0:b5,-83|72:97:41:48:4e:03,-81|c0:05:c2:ee:df:a9,-79|00:80:48:70:3c:f8,-80|c0:05:c2:2b:53:79,-83|f0:f2:49:c0:bf:28,-83|54:1f:8d:dd:1f:02,-84|38:e1:f4:b0:ac:61,-86","18%","NO"
"02/10/2025 12:42:22","02/10/2025 12:42:21","51.4922112, -0.2612784","19","wifi","-17 dBm","2454_6256920_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-1000|86:a1:d1:b8:e1:b7,-85|a0:2d:db:f7:d6:12,-70|be:a5:8b:42:55:c4,-82|94:83:c4:aa:91:04,-83|84:a1:d1:b8:df:b6,-85|14:49:bc:42:c9:26,-86|48:d3:43:54:38:99,-88","18%","NO"
"02/10/2025 12:42:00","02/10/2025 12:41:59","51.492472, -0.260508","29","wifi","-22 dBm","2454_6256920_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-1000|02:65:b3:16:59:68,-65|be:19:4d:81:c7:60,-78|80:72:15:16:2e:2a,-80|64:7b:1e:94:06:af,-80|00:80:48:70:3c:f8,-85|84:16:f9:e9:03:ee,-85|3c:9e:c7:f9:c7:02,-85|be:a5:8b:42:55:c4,-85|04:09:86:3d:5d:70,-86|ac:f8:cc:6c:3d:0d,-88","18%","NO"
"02/10/2025 12:41:03","02/10/2025 12:41:02","51.491351, -0.260561","192","wifi","-21 dBm","2454_6256920_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-1000|e4:55:a8:55:bc:de,-76|80:75:1f:af:f7:12,-76|00:30:44:29:ad:5f,-81|94:83:c4:aa:91:04,-84|3c:9e:c7:a9:91:82,-85|1a:e8:29:a1:31:22,-86|7a:b1:b5:32:36:a8,-85|46:d1:fa:cf:6d:de,-86","18%","NO"
"02/10/2025 12:40:30","02/10/2025 12:40:29","51.492021, -0.26038","156","wifi","-14 dBm","2454_6256920_234_30","0","LTE","9c:31:c3:32:f1:2a,-1000|c0:06:c3:25:75:16,-1000|00:1d:aa:40:6c:b0,-76|c0:05:c2:f0:ca:71,-81|80:75:1f:af:f7:12,-82|d4:86:60:da:1e:39,-85|d0:cf:0e:ff:cb:21,-86","18%","NO"
